n,algorithm,scenario,k,p,nstart,nsteps,nkeep,equal_weights,opt,balanced,seed,time,error,obj
 200,2,1,3, 4,400,20,10,FALSE,HARD,1, 1,0.189491987228394,0.015,-1216.63656390184
1000,2,1,3, 4,400,20,10,FALSE,HARD,1, 1,0.860697984695435,0.008,-6187.46448807187
 200,3,1,3, 4,400,20,10,FALSE,HARD,1, 1,0.340090036392212,0.015,-1216.63656390184
1000,3,1,3, 4,400,20,10,FALSE,HARD,1, 1,1.13795685768127,0.008,-6187.46448807187
 200,4,1,3, 4,400,20,10,FALSE,HARD,1, 1,0.175531148910522,0.015,-1216.63656390184
1000,4,1,3, 4,400,20,10,FALSE,HARD,1, 1,0.569477081298828,0.008,-6187.46448807187
 200,2,2,3, 4,400,20,10,FALSE,HARD,1, 1,0.3231360912323,0.04,-1608.94187132764
1000,2,2,3, 4,400,20,10,FALSE,HARD,1, 1,1.57379198074341,0.016,-8154.04900543996
 200,3,2,3, 4,400,20,10,FALSE,HARD,1, 1,0.492681980133057,0.04,-1608.94187132764
1000,3,2,3, 4,400,20,10,FALSE,HARD,1, 1,1.83908200263977,0.016,-8154.04900543997
 200,4,2,3, 4,400,20,10,FALSE,HARD,1, 1,0.186501026153564,0.04,-1609.11680353805
1000,4,2,3, 4,400,20,10,FALSE,HARD,1, 1,0.55351996421814,0.016,-8154.04900543997
 200,2,1,6, 4,400,20,10,FALSE,HARD,1, 1,0.307178974151611,0.01,-1324.71574862394
1000,2,1,6, 4,400,20,10,FALSE,HARD,1, 1,1.33644199371338,0.015,-6781.59207374363
 200,3,1,6, 4,400,20,10,FALSE,HARD,1, 1,0.761535882949829,0.01,-1324.71574862394
1000,3,1,6, 4,400,20,10,FALSE,HARD,1, 1,2.19170093536377,0.017,-6781.45070661697
 200,4,1,6, 4,400,20,10,FALSE,HARD,1, 1,0.379983901977539,0.01,-1324.71574862394
1000,4,1,6, 4,400,20,10,FALSE,HARD,1, 1,0.97539210319519,0.017,-6781.45070661697
 200,2,2,6, 4,400,20,10,FALSE,HARD,1, 1,0.673198938369751,0.04,-1721.48173342447
1000,2,2,6, 4,400,20,10,FALSE,HARD,1, 1,3.36202597618103,0.031,-8731.00784002429
 200,3,2,6, 4,400,20,10,FALSE,HARD,1, 1,1.35936498641968,0.03,-1720.41735088886
1000,3,2,6, 4,400,20,10,FALSE,HARD,1, 1,4.02085113525391,0.031,-8731.00784002429
 200,4,2,6, 4,400,20,10,FALSE,HARD,1, 1,0.423866033554077,0.03,-1722.09734801292
1000,4,2,6, 4,400,20,10,FALSE,HARD,1, 1,0.955445051193237,0.03,-8731.06142704693
 200,2,1,3,10,400,20,10,FALSE,HARD,1, 1,0.62433123588562,0.005,-2718.01600908013
1000,2,1,3,10,400,20,10,FALSE,HARD,1, 1,2.71076917648315,0.014,-13648.2449065371
 200,3,1,3,10,400,20,10,FALSE,HARD,1, 1,1.22372698783875,0.005,-2718.01600908013
1000,3,1,3,10,400,20,10,FALSE,HARD,1, 1,3.06827402114868,0.013,-13648.4188934779
 200,4,1,3,10,400,20,10,FALSE,HARD,1, 1,0.524596929550171,0.005,-2718.01600908013
1000,4,1,3,10,400,20,10,FALSE,HARD,1, 1,1.09214377403259,0.013,-13648.6862389517
 200,2,2,3,10,400,20,10,FALSE,HARD,1, 1,0.97639012336731,0.04,-3087.70268477208
1000,2,2,3,10,400,20,10,FALSE,HARD,1, 1,3.20143914222717,0.02,-15610.1352223159
 200,3,2,3,10,400,20,10,FALSE,HARD,1, 1,1.5952479839325,0.04,-3087.70268477208
