n,algorithm,scenario,k,p,q,var,sep.means,nstart,nsteps,nsteps.c2,factor.nstart,factor.nsteps,balanced,seed,time,error,obj
150,1,1,3,200,5,0.01,0,100,20,20,5,1,1,1,5.84839487075806,0.373333333333333,169.358221289992
400,1,1,3,200,5,0.01,0,100,20,20,5,1,1,1,37.0854082107544,0.31,483.707448519033
150,2,1,3,200,5,0.01,0,100,20,20,5,1,1,1,6.17800402641296,0.0333333333333333,169.354999787365
400,2,1,3,200,5,0.01,0,100,20,20,5,1,1,1,41.2552220821381,0.02,482.276260654949
150,3,1,3,200,5,0.01,0,100,20,20,5,1,1,1,29.7325961589813,0.406666666666667,168.776036196002
400,3,1,3,200,5,0.01,0,100,20,20,5,1,1,1,186.164966106415,0.0775,483.403276528229
150,1,2,3,200,5,0.01,0,100,20,20,5,1,1,1,6.10765695571899,0.373333333333333,169.358221289992
400,1,2,3,200,5,0.01,0,100,20,20,5,1,1,1,41.0593030452728,0.31,483.707448519033
150,2,2,3,200,5,0.01,0,100,20,20,5,1,1,1,6.26877307891846,0.0333333333333333,169.354999787365
400,2,2,3,200,5,0.01,0,100,20,20,5,1,1,1,40.5797619819641,0.02,482.276260654949
150,3,2,3,200,5,0.01,0,100,20,20,5,1,1,1,30.3639149665833,0.406666666666667,168.776036196002
400,3,2,3,200,5,0.01,0,100,20,20,5,1,1,1,186.299804925919,0.0775,483.403276528229
150,1,1,3,200,5,0.01,0,400,20,20,5,1,1,1,23.7859749794006,0.466666666666667,169.158939872029
400,1,1,3,200,5,0.01,0,400,20,20,5,1,1,1,149.967315912247,0.0775,483.403276528229
150,2,1,3,200,5,0.01,0,400,20,20,5,1,1,1,24.1534860134125,0.04,169.453513799685
400,2,1,3,200,5,0.01,0,400,20,20,5,1,1,1,149.48170208931,0.09,482.498465148917
150,3,1,3,200,5,0.01,0,400,20,20,5,1,1,1,117.196882963181,0.346666666666667,167.726181505095
400,3,1,3,200,5,0.01,0,400,20,20,5,1,1,1,752.093163013458,0.325,482.855672467229
150,1,2,3,200,5,0.01,0,400,20,20,5,1,1,1,24.1802279949188,0.466666666666667,169.158939872029
400,1,2,3,200,5,0.01,0,400,20,20,5,1,1,1,150.101511955261,0.0775,483.403276528229
150,2,2,3,200,5,0.01,0,400,20,20,5,1,1,1,25.215744972229,0.04,169.453513799685
400,2,2,3,200,5,0.01,0,400,20,20,5,1,1,1,150.342769861221,0.09,482.498465148917
150,3,2,3,200,5,0.01,0,400,20,20,5,1,1,1,117.202792882919,0.346666666666667,167.726181505095
400,3,2,3,200,5,0.01,0,400,20,20,5,1,1,1,749.417280197144,0.325,482.855672467229
150,1,1,3,200,5,0.01,0,100,20,20,5,1,2,1,6.18301486968994,0.373333333333333,169.358221289992
400,1,1,3,200,5,0.01,0,100,20,20,5,1,2,1,40.9400761127472,0.31,483.707448519033
150,2,1,3,200,5,0.01,0,100,20,20,5,1,2,1,6.05082082748413,0.0333333333333333,169.354999787365
400,2,1,3,200,5,0.01,0,100,20,20,5,1,2,1,41.4747829437256,0.02,482.276260654949
