n,algorithm,scenario,k,p,nstart,nsteps,nsteps.c2,factor.nstart,factor.nsteps,balanced,seed,time,error,obj
200,1,1,3,4,100,20,20,5,1,1,1,0.0907559394836426,0.04,-1350.11070816428
500,1,1,3,4,100,20,20,5,1,1,1,0.257311820983887,0.03,-3382.29671961385
1000,1,1,3,4,100,20,20,5,1,1,1,0.432842016220093,0.032,-6815.69568012809
200,2,1,3,4,100,20,20,5,1,1,1,0.188494920730591,0.015,-1215.23637070613
500,2,1,3,4,100,20,20,5,1,1,1,0.691151142120361,0.014,-3082.15020085746
1000,2,1,3,4,100,20,20,5,1,1,1,3.32366394996643,0.008,-6187.46448807187
200,3,1,3,4,100,20,20,5,1,1,1,0.430378913879395,0.04,-1350.11070816428
500,3,1,3,4,100,20,20,5,1,1,1,1.53290104866028,0.03,-3382.29671961385
1000,3,1,3,4,100,20,20,5,1,1,1,2.13831400871277,0.032,-6815.69568012809
200,1,2,3,4,100,20,20,5,1,1,1,0.103724002838135,0.1,-1771.46647251664
500,1,2,3,4,100,20,20,5,1,1,1,0.301194906234741,0.05,-4448.67137452026
1000,1,2,3,4,100,20,20,5,1,1,1,0.462763071060181,0.053,-8935.63101628844
200,2,2,3,4,100,20,20,5,1,1,1,0.271275043487549,0.04,-1609.11680353805
500,2,2,3,4,100,20,20,5,1,1,1,1.047199010849,0.016,-4069.87855173855
1000,2,2,3,4,100,20,20,5,1,1,1,3.64824295043945,0.016,-8154.12163549162
200,3,2,3,4,100,20,20,5,1,1,1,0.43184494972229,0.1,-1771.46647251664
500,3,2,3,4,100,20,20,5,1,1,1,1.64958906173706,0.05,-4448.67137452026
1000,3,2,3,4,100,20,20,5,1,1,1,2.55317187309265,0.053,-8935.63101628844
200,1,1,6,4,100,20,20,5,1,1,1,0.197471141815186,0.03,-1511.39580927018
500,1,1,6,4,100,20,20,5,1,1,1,0.725060939788818,0.024,-3873.17314216595
1000,1,1,6,4,100,20,20,5,1,1,1,0.921535968780518,0.025,-7711.90869660477
200,2,1,6,4,100,20,20,5,1,1,1,0.262299060821533,0.01,-1318.87884075259
500,2,1,6,4,100,20,20,5,1,1,1,1.20378112792969,0.01,-3383.07474345466
1000,2,1,6,4,100,20,20,5,1,1,1,4.19867300987244,0.017,-6781.45070661697
200,3,1,6,4,100,20,20,5,1,1,1,1.07702898979187,0.02,-1489.80953371074
500,3,1,6,4,100,20,20,5,1,1,1,2.95609593391418,0.018,-3802.50649110334
1000,3,1,6,4,100,20,20,5,1,1,1,3.77044892311096,0.025,-7711.90869660477
200,1,2,6,4,100,20,20,5,1,1,1,0.287233114242554,0.08,-1865.40592679689
500,1,2,6,4,100,20,20,5,1,1,1,0.736028909683228,0.04,-4634.19653524865
1000,1,2,6,4,100,20,20,5,1,1,1,1.09706592559814,0.055,-9547.10172634876
200,2,2,6,4,100,20,20,5,1,1,1,0.411898851394653,0.05,-1724.40060894662
500,2,2,6,4,100,20,20,5,1,1,1,1.61530995368958,0.032,-4340.11372531025
1000,2,2,6,4,100,20,20,5,1,1,1,5.23005986213684,0.033,-8732.25593012747
200,3,2,6,4,100,20,20,5,1,1,1,1.44812798500061,0.06,-1847.02630389684
500,3,2,6,4,100,20,20,5,1,1,1,3.22690987586975,0.058,-4759.93682102688
1000,3,2,6,4,100,20,20,5,1,1,1,5.05739808082581,0.04,-9298.29228395814
200,1,1,3,10,100,20,20,5,1,1,1,0.342085123062134,0.05,-2841.14801158856
500,1,1,3,10,100,20,20,5,1,1,1,0.765952110290527,0.05,-7210.58992051156
1000,1,1,3,10,100,20,20,5,1,1,1,1.3220100402832,0.05,-14235.0051213047
200,2,1,3,10,100,20,20,5,1,1,1,0.470741033554077,0.025,-2712.42352706537
500,2,1,3,10,100,20,20,5,1,1,1,1.41820812225342,0.022,-6880.4917225736
1000,2,1,3,10,100,20,20,5,1,1,1,3.98307204246521,0.011,-13646.7155283591
200,3,1,3,10,100,20,20,5,1,1,1,1.74134397506714,0.04,-2876.81699812529
500,3,1,3,10,100,20,20,5,1,1,1,4.74092793464661,0.062,-7154.41540965981
1000,3,1,3,10,100,20,20,5,1,1,1,7.1927649974823,0.05,-14235.0051213047
200,1,2,3,10,100,20,20,5,1,1,1,0.344079971313477,0.04,-3264.28949934211
500,1,2,3,10,100,20,20,5,1,1,1,0.673200845718384,0.068,-8224.09230787345
1000,1,2,3,10,100,20,20,5,1,1,1,1.05218696594238,0.059,-16346.288250833
200,2,2,3,10,100,20,20,5,1,1,1,0.452789068222046,0.04,-3087.70268477208
500,2,2,3,10,100,20,20,5,1,1,1,1.1977961063385,0.028,-7859.88942607316
1000,2,2,3,10,100,20,20,5,1,1,1,3.3336398601532,0.02,-15610.3271322
200,3,2,3,10,100,20,20,5,1,1,1,1.74433588981628,0.04,-3264.28949934211
500,3,2,3,10,100,20,20,5,1,1,1,3.32411003112793,0.068,-8224.09230787345
1000,3,2,3,10,100,20,20,5,1,1,1,4.8322319984436,0.052,-16117.1924597983
200,1,1,6,10,100,20,20,5,1,1,1,0.592416048049927,0.285,-3051.41461396536
500,1,1,6,10,100,20,20,5,1,1,1,1.95489501953125,0.176,-7681.42019771757
1000,1,1,6,10,100,20,20,5,1,1,1,3.25531196594238,0.043,-15236.8305890497
200,2,1,6,10,100,20,20,5,1,1,1,0.77546501159668,0.03,-2699.54109845279
500,2,1,6,10,100,20,20,5,1,1,1,2.44630002975464,0.012,-7101.36588267481
1000,2,1,6,10,100,20,20,5,1,1,1,6.17007398605347,0.023,-14142.0922804814
200,3,1,6,10,100,20,20,5,1,1,1,3.34804701805115,0.225,-3042.32895444041
500,3,1,6,10,100,20,20,5,1,1,1,10.5069620609283,0.162,-7527.88613130566
1000,3,1,6,10,100,20,20,5,1,1,1,16.5897879600525,0.043,-15236.8305890497
200,1,2,6,10,100,20,20,5,1,1,1,0.813822984695435,0.29,-3503.03014455651
500,1,2,6,10,100,20,20,5,1,1,1,2.28492403030396,0.078,-8572.732067733
1000,1,2,6,10,100,20,20,5,1,1,1,3.61433386802673,0.045,-16840.6501945726
200,2,2,6,10,100,20,20,5,1,1,1,0.877655029296875,0.155,-3156.6724575657
500,2,2,6,10,100,20,20,5,1,1,1,2.96999788284302,0.07,-8153.16833509792
1000,2,2,6,10,100,20,20,5,1,1,1,6.27023196220398,0.031,-16100.1876522827
200,3,2,6,10,100,20,20,5,1,1,1,3.67286515235901,0.28,-3458.46944305557
500,3,2,6,10,100,20,20,5,1,1,1,11.0239548683167,0.064,-8413.10744091649
1000,3,2,6,10,100,20,20,5,1,1,1,18.7348568439484,0.042,-16761.7885839309
200,1,1,3,4,400,20,20,5,1,1,1,0.445735931396484,0.04,-1350.11070816428
500,1,1,3,4,400,20,20,5,1,1,1,1.18437910079956,0.03,-3382.29671961385
1000,1,1,3,4,400,20,20,5,1,1,1,1.76229810714722,0.032,-6815.69568012809
200,2,1,3,4,400,20,20,5,1,1,1,0.838401079177856,0.015,-1215.23637070613
500,2,1,3,4,400,20,20,5,1,1,1,4.54486513137817,0.014,-3082.15020085746
1000,2,1,3,4,400,20,20,5,1,1,1,18.1615998744965,0.008,-6187.46448807187
200,3,1,3,4,400,20,20,5,1,1,1,2.22804188728333,0.04,-1350.11070816428
500,3,1,3,4,400,20,20,5,1,1,1,6.04483604431152,0.03,-3382.29671961385
1000,3,1,3,4,400,20,20,5,1,1,1,9.32558107376099,0.032,-6815.69568012809
200,1,2,3,4,400,20,20,5,1,1,1,0.481709003448486,0.1,-1771.46647251664
500,1,2,3,4,400,20,20,5,1,1,1,1.24367380142212,0.05,-4448.67137452026
1000,1,2,3,4,400,20,20,5,1,1,1,1.84805917739868,0.053,-8935.63101628844
200,2,2,3,4,400,20,20,5,1,1,1,0.961429119110107,0.04,-1609.11680353805
500,2,2,3,4,400,20,20,5,1,1,1,3.43382716178894,0.016,-4069.87855173855
1000,2,2,3,4,400,20,20,5,1,1,1,15.1407480239868,0.016,-8154.12163549162
200,3,2,3,4,400,20,20,5,1,1,1,2.01560997962952,0.1,-1771.46647251664
500,3,2,3,4,400,20,20,5,1,1,1,6.41568803787231,0.05,-4448.67137452026
1000,3,2,3,4,400,20,20,5,1,1,1,9.5286750793457,0.053,-8935.63101628844
200,1,1,6,4,400,20,20,5,1,1,1,0.911562919616699,0.02,-1489.80953371074
500,1,1,6,4,400,20,20,5,1,1,1,2.54979491233826,0.018,-3802.50649110334
1000,1,1,6,4,400,20,20,5,1,1,1,3.52058506011963,0.025,-7711.90869660477
200,2,1,6,4,400,20,20,5,1,1,1,1.29453897476196,0.01,-1318.87884075259
500,2,1,6,4,400,20,20,5,1,1,1,4.78856897354126,0.01,-3383.07474345466
1000,2,1,6,4,400,20,20,5,1,1,1,17.0753960609436,0.017,-6781.45070661697
200,3,1,6,4,400,20,20,5,1,1,1,4.56778502464294,0.02,-1489.80953371074
500,3,1,6,4,400,20,20,5,1,1,1,13.0849709510803,0.02,-3822.85037355578
1000,3,1,6,4,400,20,20,5,1,1,1,17.4824070930481,0.025,-7711.90869660477
200,1,2,6,4,400,20,20,5,1,1,1,1.24668407440186,0.06,-1847.02630389684
500,1,2,6,4,400,20,20,5,1,1,1,3.08674597740173,0.058,-4759.93682102688
1000,1,2,6,4,400,20,20,5,1,1,1,4.51868486404419,0.04,-9298.29228395814
200,2,2,6,4,400,20,20,5,1,1,1,1.59274101257324,0.05,-1724.40060894662
500,2,2,6,4,400,20,20,5,1,1,1,4.88347697257996,0.032,-4340.11372531025
1000,2,2,6,4,400,20,20,5,1,1,1,15.8039119243622,0.031,-8731.32857801805
200,3,2,6,4,400,20,20,5,1,1,1,5.70376491546631,0.06,-1847.02630389684
500,3,2,6,4,400,20,20,5,1,1,1,15.4093079566956,0.058,-4759.93682102688
1000,3,2,6,4,400,20,20,5,1,1,1,24.1835489273071,0.04,-9298.29228395814
200,1,1,3,10,400,20,20,5,1,1,1,1.42917895317078,0.04,-2876.81699812529
500,1,1,3,10,400,20,20,5,1,1,1,3.6313009262085,0.062,-7154.41540965981
1000,1,1,3,10,400,20,20,5,1,1,1,5.46091604232788,0.05,-14235.0051213047
200,2,1,3,10,400,20,20,5,1,1,1,1.96773791313171,0.03,-2712.59562147333
500,2,1,3,10,400,20,20,5,1,1,1,5.54319310188293,0.02,-6879.96138697431
1000,2,1,3,10,400,20,20,5,1,1,1,18.1981592178345,0.011,-13646.7155283591
200,3,1,3,10,400,20,20,5,1,1,1,7.56366896629333,0.025,-2851.69511904236
500,3,1,3,10,400,20,20,5,1,1,1,17.7367970943451,0.062,-7153.10613990886
1000,3,1,3,10,400,20,20,5,1,1,1,27.6261749267578,0.05,-14235.0051213047
200,1,2,3,10,400,20,20,5,1,1,1,1.37931084632874,0.04,-3264.28949934211
500,1,2,3,10,400,20,20,5,1,1,1,2.57960987091064,0.068,-8224.09230787345
1000,1,2,3,10,400,20,20,5,1,1,1,3.76355791091919,0.052,-16118.2482325497
200,2,2,3,10,400,20,20,5,1,1,1,1.75131702423096,0.04,-3087.70268477208
500,2,2,3,10,400,20,20,5,1,1,1,4.62818717956543,0.028,-7859.88942607316
1000,2,2,3,10,400,20,20,5,1,1,1,16.6487739086151,0.02,-15610.3271322
200,3,2,3,10,400,20,20,5,1,1,1,7.279048204422,0.04,-3264.28949934211
500,3,2,3,10,400,20,20,5,1,1,1,13.0370049476624,0.068,-8224.09230787345
1000,3,2,3,10,400,20,20,5,1,1,1,18.4312200546265,0.052,-16117.1924597983
200,1,1,6,10,400,20,20,5,1,1,1,2.38063383102417,0.245,-3070.96463560491
500,1,1,6,10,400,20,20,5,1,1,1,7.27208590507507,0.162,-7527.88613130566
1000,1,1,6,10,400,20,20,5,1,1,1,11.9667909145355,0.043,-15236.8305890497
200,2,1,6,10,400,20,20,5,1,1,1,2.55018091201782,0.03,-2697.22750830233
500,2,1,6,10,400,20,20,5,1,1,1,8.87837409973145,0.014,-7103.37172713749
1000,2,1,6,10,400,20,20,5,1,1,1,24.1273078918457,0.023,-14142.0922804814
200,3,1,6,10,400,20,20,5,1,1,1,11.3423109054565,0.135,-3035.13922067435
500,3,1,6,10,400,20,20,5,1,1,1,37.1374170780182,0.16,-7479.89461876559
1000,3,1,6,10,400,20,20,5,1,1,1,60.5170619487762,0.03,-15045.6969609976
200,1,2,6,10,400,20,20,5,1,1,1,2.80350303649902,0.28,-3458.46944305557
500,1,2,6,10,400,20,20,5,1,1,1,8.48448610305786,0.064,-8413.10744091649
1000,1,2,6,10,400,20,20,5,1,1,1,13.290894985199,0.047,-16832.3972061182
200,2,2,6,10,400,20,20,5,1,1,1,2.9382050037384,0.14,-3163.20395317012
500,2,2,6,10,400,20,20,5,1,1,1,10.3234689235687,0.044,-8069.79624470222
1000,2,2,6,10,400,20,20,5,1,1,1,26.2397530078888,0.034,-16100.8191121336
200,3,2,6,10,400,20,20,5,1,1,1,13.734747171402,0.11,-3422.74583785606
500,3,2,6,10,400,20,20,5,1,1,1,42.8440489768982,0.066,-8395.97580094149
1000,3,2,6,10,400,20,20,5,1,1,1,68.3014409542084,0.045,-16680.2418342432
200,1,1,3,4,100,20,20,5,1,2,1,0.113697052001953,0.04,-1353.13726998068
500,1,1,3,4,100,20,20,5,1,2,1,0.320144176483154,0.034,-3418.78356765567
1000,1,1,3,4,100,20,20,5,1,2,1,0.433840036392212,0.029,-6885.74656094194
200,2,1,3,4,100,20,20,5,1,2,1,0.287231922149658,0.01,-1215.37647280641
